"x","y","z","parcel"
28.6698513031006,3.77813005447388,-30.2542591094971,"R_TP1_A"
34.7955551147461,6.72262811660767,-30.4819297790527,"R_TP1_A"
35.7659492492676,3.8741090297699,-26.9291381835938,"R_TP1_A"
31.3427448272705,3.50396490097046,-27.6082420349121,"R_TP1_A"
36.8883628845215,4.22970819473267,-23.6869068145752,"R_TP1_A"
33.367259979248,4.41210412979126,-20.2585487365723,"R_TP1_A"
33.9783363342285,5.08129787445068,-18.9668960571289,"R_TP1_A"
31.0651950836182,3.49862694740295,-18.9535217285156,"R_TP1_A"
32.8036422729492,5.71896409988403,-18.8310871124268,"R_TP1_A"
33.5787658691406,6.96923398971558,-20.2517070770264,"R_TP1_A"
29.47825050354,5.01576519012451,-18.7518196105957,"R_TP1_A"
26.4739933013916,4.02909898757935,-20.0713844299316,"R_TP1_A"
21.2189426422119,3.93138694763184,-22.7776966094971,"R_TP1_A"
29.6398468017578,6.32652902603149,-31.4793033599854,"R_TP1_A"
29.5314235687256,9.01873302459717,-27.3382530212402,"R_TP1_A"
34.5899696350098,8.35305213928223,-29.2416229248047,"R_TP1_A"
31.2312107086182,9.3403434753418,-26.7332630157471,"R_TP1_A"
35.9939918518066,9.63452911376953,-27.5424385070801,"R_TP1_A"
37.9405860900879,9.15517044067383,-20.9060478210449,"R_TP1_A"
36.5060653686523,6.17502212524414,-19.42431640625,"R_TP1_A"
38.4020233154297,6.16869020462036,-20.6743774414062,"R_TP1_A"
31.7687911987305,5.98845911026001,-30.9501113891602,"R_TP1_A"
30.8012828826904,4.45389080047607,-25.7735404968262,"R_TP1_A"
27.2821655273438,6.93518114089966,-29.9010200500488,"R_TP1_A"
27.5104331970215,3.79982399940491,-26.5486679077148,"R_TP1_A"
26.007303237915,6.17486000061035,-26.7251968383789,"R_TP1_A"
24.5809669494629,7.02294206619263,-28.1162776947021,"R_TP1_A"
25.4015865325928,8.28899097442627,-27.7208461761475,"R_TP1_A"
27.0550003051758,8.95675468444824,-26.8579502105713,"R_TP1_A"
27.3462734222412,7.32246017456055,-24.676456451416,"R_TP1_A"
32.5214920043945,9.59299087524414,-22.8368015289307,"R_TP1_A"
29.7242088317871,7.03298616409302,-22.6756973266602,"R_TP1_A"
36.1694793701172,7.2873067855835,-29.7726745605469,"R_TP1_A"
35.5282592773438,5.75590705871582,-28.5390892028809,"R_TP1_A"
36.7954635620117,8.21528339385986,-26.5537433624268,"R_TP1_A"
38.4095268249512,6.37807083129883,-24.1635055541992,"R_TP1_A"
36.1062889099121,5.70593786239624,-25.3357486724854,"R_TP1_A"
37.7053260803223,4.75783014297485,-20.5676307678223,"R_TP1_A"
28.7768421173096,3.568598985672,-25.2091674804688,"R_TP1_A"
27.2737331390381,7.99518918991089,-29.3172702789307,"R_TP1_A"
38.0323638916016,4.23512077331543,-24.2005767822266,"R_TP1_A"
32.5733757019043,10.8321313858032,-25.2471923828125,"R_TP1_A"
33.8389511108398,11.5617666244507,-23.6061458587646,"R_TP1_A"
36.5252227783203,12.0742979049683,-24.2690296173096,"R_TP1_A"
36.6742782592773,11.3158712387085,-22.7225189208984,"R_TP1_A"
38.3338775634766,9.61474895477295,-25.716703414917,"R_TP1_A"
24.8357486724854,3.51373910903931,-25.7400207519531,"R_TP1_A"
29.2411785125732,3.71933698654175,-18.4227123260498,"R_TP1_A"
23.2599620819092,3.89388799667358,-26.5267601013184,"R_TP1_A"
23.1615715026855,4.9946780204773,-26.2311687469482,"R_TP1_A"
25.0572204589844,4.98464822769165,-26.0018310546875,"R_TP1_A"
25.4252681732178,5.72157287597656,-24.4530506134033,"R_TP1_A"
22.0519027709961,5.26543188095093,-24.0677719116211,"R_TP1_A"
38.3708724975586,10.8896961212158,-23.2223510742188,"R_TP1_A"
26.2007484436035,5.17081785202026,-20.9141597747803,"R_TP1_A"
35.5763320922852,8.66034412384033,-20.2214660644531,"R_TP1_A"
31.895845413208,13.4499588012695,-35.1700592041016,"R_TP1_B"
34.6480560302734,13.4585485458374,-35.5501098632812,"R_TP1_B"
35.1651000976562,10.4877815246582,-33.4651069641113,"R_TP1_B"
37.3640403747559,12.0894136428833,-32.8673248291016,"R_TP1_B"
35.2187881469727,15.0656929016113,-35.6500053405762,"R_TP1_B"
36.1769142150879,15.4240646362305,-33.9449501037598,"R_TP1_B"
38.2360916137695,14.8767681121826,-24.1767997741699,"R_TP1_B"
38.5414161682129,13.5789985656738,-28.3490028381348,"R_TP1_B"
37.8638954162598,15.353367805481,-28.5444450378418,"R_TP1_B"
