"parcel_name","cort_thick"
"L_TP1_A",3.24733474356222
"L_TP1_B",3.05108920550184
"L_TP1_C",4.23150925256174
"L_TP1_D",3.70116303382028
"L_TP1_E",3.72362082639892
"L_TP1_F",3.50484274060549
"L_TP2.1_A",4.97173051280215
"L_TP2.1_B",4.5650520993931
"L_TP2.1_C",4.02306626550301
"L_TP2.1_D",3.85684383647617
"L_TP2.2_A",5.94869621728878
"L_TP2.2_B",5.38061509994917
"L_TP2.2_C",4.4416850105425
"L_TP2.2_D",4.46567026802003
"L_TP3_A",6.22143767170888
"L_TP3_B",5.49843552673644
"L_TP3_C",4.51551423363025
"L_TP3_D",4.42057939947402
"L_T1_A",3.16650309549936
"L_T1_B",3.07830177926997
"L_T1_C",2.85458530567647
"L_T1_D",2.61804702401393
"L_T1_E",2.70218636514226
"L_T1_F",2.63673786599503
"L_T1_G",2.94911757383071
"L_T2.1_A",3.58800580715302
"L_T2.1_B",3.54131884848808
"L_T2.1_C",3.16264992107568
"L_T2.1_D",3.26699747516595
"L_T2.1_E",3.36229559655902
"L_T2.1_F",3.36760260218365
"L_T2.1_G",4.06716387030788
"L_T2.2_A",4.48832521090118
"L_T2.2_B",4.46805635118784
"L_T2.2_C",4.33570205859205
"L_T2.2_D",4.29607056993333
"L_T2.2_E",4.58544267864508
"L_T2.2_F",4.1492943450678
"L_T2.2_G",4.04591753188778
"L_T3.1_A",4.08201001031901
"L_T3.1_B",4.14846092184772
"L_T3.1_C",4.01196400826496
"L_T3.1_D",4.60240243254088
"L_T3.1_E",4.8264561104054
"L_T3.1_F",4.59019168787721
"L_T3.2_A",3.52188127530938
"L_T3.2_B",3.12322836811188
"L_T3.2_C",3.87272967013852
"L_T3.2_D",4.59882593043007
"L_T3.2_E",4.60918097153968
"L_O1_A",1.92294337927588
"L_O1_B",2.09272481934132
"L_O1_C",2.29114464034494
"L_O1_D",2.24777413784539
"L_O1_E",2.74686872108087
"L_O2.1_A",2.51885549443434
"L_O2.1_B",2.52359997492438
"L_O2.1_C",2.63442296947702
"L_O2.1_D",3.16205300253362
"L_O2.1_E",3.25145438481807
"L_O2.2_A",2.24468399671257
"L_O2.2_B",2.5761926036283
"L_O2.2_C",3.5368436826529
"L_O2.2_D",3.25811365788334
"L_O2.2_E",2.67504335259923
"L_O2.2_F",3.07916744257917
"L_O2.2_G",2.85388042319958
"L_O2.2_H",3.09232415133691
"L_O2.2_I",3.0144486182964
"L_O2.2_J",3.31952537009879
"L_O2.2_K",3.69315052279548
"L_O3_A",2.1823652777855
"L_O3_B",2.08380900067664
"L_O3_C.1",2.55651206680624
"L_O3_C.2",2.39834762762636
"L_O3_D.1",3.46942725879685
"L_O3_D.2",3.22030504249191
"L_O3_E",4.07460617836431
"L_O3_F",3.43470640556708
"L_O3_G",2.94395689919606
"L_O3_H",3.30983349511008
"L_O3_I",4.14286902900862
"L_O4_A",2.72773711571991
"L_O4_B",3.02970992012175
"L_AN1_A",2.82128678332499
"L_AN1_B",3.43046067136027
"L_AN1_C",3.72291065350259
"L_AN2_A",3.08522756733991
"L_AN2_B",3.63791122452839
"L_AN2_C",3.79707997197932
"L_AN2_D",3.79404138143276
"L_SM1_A",2.59595463065628
"L_SM1_B",2.37474644013288
"L_SM1_C",2.54750083121484
"L_SM1_D",2.5973695115687
"L_SM1_E",2.66330675098415
"L_SM2_A",2.99712286222064
"L_SM2_B",2.7711372765107
"L_SM3_A",2.66541715151181
"L_SM3_B",3.17388713618588
"L_SM3_C",3.06305412703103
"L_SM4_A",2.26852621868277
"L_SM4_B",2.69576125138247
"L_SM4_C",2.99562688939219
"L_SM5_A",2.40186789438563
"L_SM5_B",2.8133758201267
"L_SM5_C",3.07640398591507
"L_SM5_D",3.33599561095493
"L_SM5_E",3.31913663304481
"L_P1_A",3.37158717708861
"L_P1_B",2.55411888911875
"L_P1_C",2.07485569623182
"L_P1_D",2.49714408601117
"L_P1_E",1.84453296382318
"L_P1_F",1.88282223449577
"L_P1_G",2.15531697619728
"L_P2_A",2.53750510422447
"L_P2_B",2.4072191811669
"L_P2_C",1.96301327390005
"L_P2_D",2.18302515305455
"L_P3_A",3.06621582880417
"L_P3_B",2.52294636184126
"L_P3_C",2.40513011429783
"L_P3_D",2.23065937553867
"L_P3_E",2.06467786950273
"L_P3_F",2.23242855058251
"L_P4_A",2.31296794816274
"L_P4_B",2.47561109841874
"L_P4_C",2.52324059349584
"L_P4_D",2.34231197676402
"L_P4_E",2.23260497884313
"L_P4_F",2.4672457178284
"L_P4_G",2.3287084772446
"L_S_A",2.1481260533059
"L_S_B",1.62367764405703
"L_S_C",1.41735577356268
"L_S_D",1.434361761211
"L_S_E",1.49283480589524
"L_S_F",1.58143726096018
"L_S_G",1.64625486220017
"L_S_H",1.73678913347832
"L_S_I",1.74146931480124
"L_S_J",1.92825613805155
"L_S_K",1.72886318959023
"L_S_L",2.14911875431723
"L_S_M",2.38424715826911
"L_M1_A",2.34276631372775
"L_M1_B",2.11678554700539
"L_M1_C",2.01612266401223
"L_M1_D",2.64298410332031
"L_M2_A",1.80508568619128
"L_M2_B",1.84726545669769
"L_M2_C",1.98504465004947
"L_M2_D",2.45353540724293
"L_M2_E",2.3732732795448
"L_M2_F",1.98370765189041
"L_M2_G",1.96614191163423
"L_M2_H",2.13004520878273
"L_M2_I",1.72846900438727
"L_M2_J",1.81872559035843
"L_M2_K",2.37962066237853
"L_SF1_A",2.80419579896941
"L_SF1_B",2.27825314394448
"L_SF1_C",2.26138867596047
"L_SF1_D",2.35789641376831
