"x","y","z"
24.3039722442627,-12.4549150466919,-29.0095710754395
21.1767883300781,-12.0124340057373,-27.2723197937012
21.3085613250732,-12.8280277252197,-26.0064544677734
17.1476135253906,-8.26555728912354,-24.5622425079346
18.8963108062744,-10.6252002716064,-24.6344432830811
17.4541606903076,-10.0018033981323,-22.9770240783691
16.4393749237061,-9.72853374481201,-22.1808128356934
17.9092922210693,-6.70056915283203,-24.6391925811768
18.2711887359619,-8.74028778076172,-21.5823383331299
19.09108543396,-6.569983959198,-24.4574851989746
20.3812789916992,-8.3803882598877,-22.2996196746826
20.2138557434082,-6.81732892990112,-25.8759632110596
23.9444541931152,-8.43976783752441,-25.7140254974365
22.3949680328369,-7.4579119682312,-27.2754745483398
27.1349353790283,-7.51134777069092,-27.1845417022705
30.4836559295654,-8.57785415649414,-20.1817111968994
32.1271858215332,-8.65319919586182,-23.2790641784668
34.1431198120117,-10.6653833389282,-20.7451190948486
27.6915683746338,-9.78298091888428,-18.7365245819092
24.3199920654297,-9.73580074310303,-19.9332256317139
25.7185840606689,-8.6598653793335,-23.2863826751709
22.4427089691162,-8.66603660583496,-20.9939880371094
21.1945247650146,-9.40720558166504,-28.6613254547119
23.228759765625,-7.687912940979,-29.5549621582031
20.0859088897705,-7.7815670967102,-27.344352722168
23.4675693511963,-9.37057495117188,-30.6143035888672
24.8834342956543,-7.85105609893799,-30.081657409668
21.4137706756592,-13.3943672180176,-22.1095809936523
21.4665565490723,-12.1057500839233,-23.8646087646484
17.9523468017578,-13.0123920440674,-22.4495792388916
18.4240245819092,-16.9467334747314,-20.7559356689453
20.9001979827881,-16.2742900848389,-21.2466907501221
18.5629768371582,-19.452522277832,-18.4357643127441
16.9841403961182,-16.6634654998779,-18.8503093719482
17.9963226318359,-18.2961139678955,-15.865948677063
20.2409229278564,-18.2981567382812,-13.6105184555054
17.9597110748291,-15.0177268981934,-15.3548746109009
19.9036407470703,-14.398678779602,-13.7207021713257
22.1470947265625,-16.5865993499756,-12.7270755767822
21.9046516418457,-13.4637403488159,-12.8129978179932
24.8134117126465,-14.0040588378906,-13.0525894165039
26.0241947174072,-17.1288986206055,-12.0440263748169
27.0745010375977,-15.2446537017822,-13.4108905792236
26.7217979431152,-13.4822826385498,-15.1854305267334
30.255241394043,-12.6530895233154,-15.7917995452881
26.6342124938965,-12.8782558441162,-28.2614288330078
26.9948768615723,-9.17573356628418,-29.0820388793945
27.822868347168,-10.9614963531494,-28.0849742889404
31.4357471466064,-13.0472135543823,-25.8668651580811
31.5932350158691,-15.1580867767334,-24.3329639434814
32.82177734375,-17.0771903991699,-23.078405380249
36.1665077209473,-15.5560235977173,-21.0935859680176
35.8305397033691,-18.0741691589355,-20.3082408905029
34.3339347839355,-19.9333057403564,-18.7621440887451
36.9110450744629,-17.9994888305664,-18.266092300415
36.4806022644043,-16.550594329834,-16.4772720336914
36.3311080932617,-14.0085582733154,-20.7511711120605
28.8043460845947,-7.95445823669434,-27.2515602111816
